date	high
	
2017-03-31	3.93
2017-03-30	3.89
2017-03-29	3.99
2017-03-28	3.8
2017-03-27	3.74
2017-03-24	3.68
2017-03-23	3.75
2017-03-22	3.66
2017-03-21	3.72
2017-03-20	3.72
2017-03-17	3.66
2017-03-16	3.76
2017-03-15	4.0498
2017-03-14	4.06
2017-03-13	3.915
2017-03-10	3.85
2017-03-09	3.66
2017-03-08	3.545
2017-03-07	3.34
2017-03-06	3.42
2017-03-03	3.72
2017-03-02	3.85
2017-03-01	3.49
2017-02-28	3.78
2017-02-27	3.34
2017-02-24	2.72
2017-02-23	2.65
2017-02-22	2.51
2017-02-21	2.52
2017-02-17	2.61
2017-02-16	2.585
2017-02-15	2.5401
2017-02-14	2.45
2017-02-13	2.49
2017-02-10	2.535
2017-02-09	2.47
2017-02-08	2.39
2017-02-07	2.415
2017-02-06	2.45
2017-02-03	2.39
2017-02-02	2.35
2017-02-01	2.38
2017-01-31	2.3899
2017-01-30	2.42
2017-01-27	2.52
2017-01-26	2.57
2017-01-25	2.54
2017-01-24	2.52
2017-01-23	2.49
2017-01-20	2.48
2017-01-19	2.53
2017-01-18	2.615
2017-01-17	2.61
2017-01-13	2.5
2017-01-12	2.53
2017-01-11	2.5899
2017-01-10	2.5999
2017-01-09	2.7
2017-01-06	2.6
2017-01-05	2.53
2017-01-04	2.585
2017-01-03	2.1
